"question","answer"
"Sau khi làm bộ Rose De Mer da sẽ có những biểu hiện gì? Lưu ý gì sau khi trị liệu?","- Ngay sau khi trị liệu:
Da trở nên mềm hơn và silicates gây ra cảm giác châm chích khi chạm tay vào. Khách hàng có thể gặp phải triệu chứng này trong vài giờ sau đó.
- Trong vòng 24h:
Da khô và trở nên căng hơn. Đôi khi da có cảm giác rát là kết quả của việc da trở nên khô.
- Sau 24h:
Da bắt đầu thay ở khu vực xung quanh miệng, sau đó sẽ thay ở các khu vực khác, thông thường thứ tự thay da theo chiều từ trong ra ngoài.
* Trong hai ngày đầu tiên ngay sau khi thay da, điều quan trọng là phải đảm bảo để làm khô da và giữ vệ sinh cho da, cần tránh tiếp xúc với ánh sáng tuyệt đối.
* Sau hai ngày, làn da trở nên đặc biệt khô và bắt đầu bong tróc. Tại thời điểm này, bắt buộc phải sử dụng các sản phẩm dưỡng ẩm, làm dịu và phục hồi cho da, chống nắng.
* Lưu ý: hạn chế tiếp xúc với ánh nắng, thoa kem chống nắng đầy đủ, không wax lông, không nhuộm tóc. Sau khi thực hiện trị liệu body, cần mặc áo thun rộng thoải mái, tránh cọ xát vào vùng da trị liệu, không tập thể dục, không bơi lội, tắm gội tránh tiếp xúc với vùng da sau trị liệu, tránh nằm tì đè lên vùng da sau peel, không gãi, không chà xát.
* Nhãn hàng khuyến khích khách hàng sau khi sử dụng tại Salon, kết hợp dùng bộ Rose De Mer kit tại nhà để mang lại hiệu quả cao nhất."
"Chăm sóc da sau trị liệu Rose De Mer như thế nào?","Sau khi thay da sinh học Rose De Mer, sử dụng sữa rửa mặt và bộ kit của Rose De Mer giúp kích thích quá trình bong tại nhà được đều, đẹp và hiệu quả hơn.
- RDM Home - Clean & Gentle/ Sữa rửa mặt dịu nhẹ: dùng 1 ngày 2 lần sáng tối, dùng ngay 4 tiếng sau khi thay da. Sau đó thoa Dry out. Ngày thay da tính là ngày thứ 1.
- RDM Home - Dry out/ Gel làm khô: thoa một lớp mỏng 3-4 lần một ngày sau khi làm sạch da. Không rửa hoặc lau lại. Ngừng sử dụng khi da bắt đầu bong. Chỉ dùng tối đa trong 48 tiếng.
- RDM Home - Calm & Hydrate/ Gel làm dịu, cấp ẩm và tái tạo da: bắt đầu sử dụng từ ngày thứ 3 trở đi sau khi thay da, lấy 2-3 giọt Calm and Hydrate thoa nhẹ lên da 1 ngày 4-6 lần, dùng trên da sạch.
- RDM Home - Peel & Renew/ Mặt nạ phục hồi và tái tạo da: sử dụng từ ngày thứ 4 sau khi thay da như một loại mặt nạ. Dùng 3 -5 lần/ngày, massage nhẹ nhàng trong khoảng 1-2 phút và để trên mặt trong khoảng 30 phút. Rửa sạch bằng Clean & Gentle. Sau đó bôi Calm & Hydrate."
"Cơ chế thay da sinh học của Rose De Mer là gì?","Thay da sinh học RDM là sự kết hợp hoàn hảo giữa 2 phương pháp peel là peel sinh học và peel vật lý, kết hợp với kỹ thuật massage sẽ tạo hiệu ứng loại bỏ cơ học khi các tinh thể silicat hình kim phá vỡ các liên kết tế bào sừng bề mặt trên đường chúng đi sâu vào trong da. Trong da, các tinh thể này tan nhỏ dần dưới sự tác động của dịch ngoại bào và nhiệt độ, chúng len lỏi dần xuống các tầng sâu thượng bì. Tại đây, chúng được nhận diện là các tác nhân lạ, cơ thể kích thích chuỗi phản ứng miễn dịch là giãn mao mạch, thúc đẩy quá trình tái tạo để làm lành tổn thương, tái tạo mạnh giúp đẩy bật các tế bào sừng hoá phía trên đồng thời kích thích tăng sinh mạnh mẽ từ đó cải thiện các vấn đề lão hóa và tái sinh làn da một cách toàn diện.
Cơ chế thay da này mang lại hiệu quả cao & an toàn cho da."
"Trị liệu Rose De Mer bao lâu làm 1 lần?","Tùy theo tình trạng da và mục đích điều trị sẽ có phác đồ trị liệu khác nhau.
- Trẻ hóa da: thay da sinh học lần 1 để loại bỏ đi lớp sừng cũ trên bề mặt, kích thích tái tạo đổi mới làn da. Sau 3-6 tháng có thể làm lại bộ thay da sinh học. Tối đa 2-4 lần/ năm.
-  Điều trị mụn bít tắc, thâm sau mụn: làm 1 lần/ tháng, có thể làm liên tục trong 2-3 tháng tùy tình trạng da sau khi peel theo dõi da, nếu da đáp ứng tốt có thể ngừng không peel nữa.
- Điều trị mụn (mụn sưng viêm đến mụn nặng vừa): kết hợp lý tưởng cùng dòng sản phẩm Comodex của Christina, chỉ định theo tình trạng da cụ thể sau khi thăm khám.
- Điều trị sẹo mụn: áp dụng với các tình trạng sẹo mới, nông, nhỏ. Trị liệu thay da 1 lần/ tháng, có thể làm liên tục 2-3 tháng tiếp theo và có thể kết hợp với nhiều phương pháp khác như laser, meso, lăn/ phi kim…để tăng hiệu quả điều trị sẹo.
- Điều trị nám & các vấn đề về tăng sắc tố da: thay da sinh học lần 1 để loại bỏ đi lớp sừng cũ trên bề mặt, kích thích tái tạo đổi mới làn da. Sau 3-6 tháng có thể làm lại bộ thay da sinh học. Tối đa 2-4 lần/ năm.
* Lưu ý:
- Trên đây là phác đồ tham khảo, liệu trình chính xác cần căn cứ vào từng trường hợp da cụ thể.
- Sau 7-10 ngày trị liệu thay da nên có những buổi phục hồi để da khỏe mạnh, ổn định. Có thể kết hợp liệu trình phục hồi Unstress sau những buổi thay da sinh học với Rose De Mer."
"Lực massage của Rose De Mer như thế nào là đạt hiệu quả?","Bề mặt da và vấn đề da khác nhau sẽ đi lực massage mạnh hay nhẹ. Vì vậy, kỹ thuật viên khi thực hiện bước massage cần thăm khám da & được đào tạo tay nghề kỹ thuật để thực hiện bộ sản phẩm Rose De Mer để mang lại hiệu quả cao nhất, an toàn nhất cho làn da.
Khi thay da bằng bộ sản phẩm Rose De Mer đạt hiệu quả là khi điểm cuối lâm sàng đạt mức hồng đỏ đều, có cảm giác ấm nóng trên da."
"Có thể lược bỏ bước số 3 trong liệu trình sản phẩm không?","Bước 3 của bộ sản phẩm Biophyto chiết xuất từ nha đam giúp làm dịu làn da, da mềm hơn. 
Đây là bước đệm trước khi peel. Khi da có các sợi bã nhờn, mụn đầu đen. Lớp gel này giúp làm mềm, cồi mụn sẽ dễ dàng đẩy ra hơn khi thực hiện bước peel da tiếp theo. Nhãn hàng khuyên chuyên viên trị liệu nên thực hiện bước 3 để hỗ trợ liệu trình đạt hiệu quả tốt nhất."
"Kem massage số 5 có thể dùng được cho những làn da nào?","Bước 5 của bộ sản phẩm Biophyto sẽ làm dịu làn da sau bước peel, tăng cường phục hồi làn da sau peel, cung cấp vitamin nhóm B và các thành phần dưỡng ẩm như bơ hạt mỡ, methanol. Bước này sẽ phù hợp với những làn cần cấp ẩm, làm dịu, đặc biệt với những làn da hỗn hợp, da dầu, da dày sừng, lỗ chân lông rộng."
"Bộ Biophyto có thể dùng được cho những làn da nào?","Độ tuổi từ 15 trở lên. Thích hợp với mọi loại da: da thường, da dầu, da hỗn hợp, dày sừng, lỗ chân lông to, sần, mụn bít tắc. Da xỉn màu, mất nước, thiếu cân bằng độ ẩm."
"Alluring serum bị đổi màu sau thời gian sử dụng thì có thể dùng tiếp được không?","Màu sắc của sản phẩm Alluring Serum được chiết xuất bởi diệp lục tự nhiên thu hoạch từ lá thực vật. Đó là lý do xuất hiện màu sắc đậm nhạt khác nhau trên khác sản phẩm Alluring Serum, tuy nhiên chất lượng sản phẩm được đảm bảo nguyên vẹn.
Trong quá trình bảo quản đối với các sản phẩm Serum đã mở nắp, sản phẩm bị đổi màu do oxy hóa hoặc ảnh hưởng từ nhiệt độ, ánh sáng từ môi trường bên ngoài. Khi sản phẩm đã đổi màu, hiệu quả sử dụng đã giảm hoặc có thể thay đổi ảnh hưởng đến người sử dụng. 
Không nên sử dụng sản phẩm đã bị biến đổi như: đổi màu + biến mùi, tách lớp."
"Thành phần nổi trội của Biophyto là gì?","Biophyto là dòng sản phẩm chiết xuất hoàn toàn từ thảo dược tự nhiên mang lại hiệu quả rõ rệt & an toàn cho làn da: 
- Zaatar Complex (Kinh giới + Xạ hương): hoạt động như một chất oxy hóa mạnh có đặc tính kháng viêm, kích thích tăng tuần hoàn. Hỗ trợ thải độc tố cho làn da.
- Chlorophyll – Diệp lục: một chất chống oxy hóa mạnh, chống viêm và hỗ trợ thải độc. Ngăn chặn sự phát triển của vi khuẩn và tái tạo tế bào.
- Anti – Toxins Peptide (Nấm tuyết): bảo vệ da, chống oxy hóa tế bào. Giúp ngăn ngừa sự thoái hóa ở cấp độ tế bào.
- BioTech – Algae Complex (Công nghệ sinh học từ Tảo): thải độc, giữ nước, kích thích phục hồi tế bào da, hỗ trợ khả năng chuyển hóa tế bào. Bảo vệ làn da khỏi các tác nhân từ bên ngoài.
- Phyto – Ceramide Complex: giữ ẩm, ngăn ngừa thoát nước qua da, bảo vệ da từ các tác nhân từ môi trường.
-  Salicylic acid: loại bỏ tế bào chết, bụi bẩn, tạp chất bít tắc trong da. Làm sạch, thanh lọc làn da, dễ dàng hấp thụ các chất dinh dưỡng hiệu quả."
"Sữa rửa mặt Biophyto có dùng được cho phụ nữ có thai không? Vì sao?","Sữa rửa mặt Biophyto dùng được cho phụ nữ có thai.
Vì các thành phần của sữa rửa mặt Biophyto gồm trà xanh, dưa chuột, chất làm sạch tự nhiên có nguồn gốc từ dầu dừa, nhẹ, không gây kích ứng nhưng hiệu quả cao. Các thành phần từ thiên nhiên an toàn với phụ nữ có thai."
"Thành phần chính của bộ sản phẩm Comodex là gì? Công dụng của các thành phần này là gì?","Bộ sản phẩm điều trị mụn Comodex gồm 4 thành phần chính:
- Retinol vi nang: Retinol vi nang với công nghệ màng bọc phospholipid có lớp màng lipid tương tự màng tế bào, khi tác động vào da sẽ có cơ chế hòa vào màng tế bào để giải phóng retinol từ từ, đưa hoạt chất đến các mô đích cần điều trị, giảm tình trạng kích ứng nhưng vẫn đạt được hiệu quả tốt trên da.
- Salicylic vi nang: công nghệ Salicylic vi nang trong các sản phẩm của Comodex, đây là một công thức độc đáo và hiện tại trên thị trường Việt Nam rất hiếm các sản phẩm chứa công thức này, giúp quá trình điều trị diễn ra hiệu quả đồng thời giảm các tác dụng phụ không mong muốn đến làn da khách hàng.
- Perfection Tripeptide: một hoạt chất enzyme loại bỏ tế bào chết bằng cơ chế phá vỡ các liên kết tế bào sừng trên bề mặt vì thế phù hợp với mọi loại da kể cả da nhạy cảm.
- Chiết xuất hạt tiêu từ vùng biển Tasman: thành phần tự nhiên có từ vùng biển nước Úc có tác dụng bảo vệ, làm dịu và giảm sự mẫn cảm của da. Điều trị sưng, nổi mề đay và những cảm giác khó chịu đối với da."
"Kết hợp lấy nhân mụn ở bước nào? Có thể kết hợp với máy xông hơi, máy hút bã nhờn và chiếu đèn LED ở bước nào?","- Sau khi sử dụng số 4 Stimulate & Detox Solution có thể kết hợp với máy xông hơi nóng khoảng 5-7 phút, không cần lau lại và tiến hành xử lý nhân mụn.
- Kết hợp máy hút bã nhờn, dầu thừa sau bước tẩy da chết số 2 Scrub & Smooth để tăng hiệu quả làm sạch sâu hơn, chuẩn bị da trước bước peel.
- Chiếu đèn xanh ở bước mặt nạ số 6 Astrigen & Regulate Mask trong thời gian 10-15 phút giúp tăng hiệu quả kháng khuẩn, diệt khuẩn, kiềm dầu tốt hơn."
"Với những tình trạng mụn viêm, sau khi nặn mụn ở cơ sở, có thể kê sản phẩm nào cho khách dùng tại nhà?","Sử dụng gel trị mụn diệt khuẩn Correct và Prevent Gel chấm trực tiếp lên các nốt mụn 2 lần/ ngày, sáng - tối trước bước kem dưỡng.
Kết hợp cùng bộ đôi serum Hydrate & Restore Comodex và kem đêm Comodex để mang lại hiệu quả trị mụn và phục hồi da.
Tìm hiểu kỹ hơn cùng đội ngũ chuyên gia của Christina với mỗi tình trạng da mụn của khách hàng."
"Da có nhiều mụn viêm có dùng tẩy da chết của Comodex được không? 1 tuần dùng được bao nhiêu lần?","Với tình trạng da nhiều mụn viêm (5-10 nốt mụn viêm sưng to) vẫn có thể dùng được tẩy da chết scrub của Comodex. Chú ý tránh không massage những vùng da có mụn viêm, những vùng da khác vẫn massage bình thường. 
Những da có mụn viêm nhiều toàn mặt thì tạm ngưng dùng tẩy da chết chờ đến khi da ổn định."
"Hiện tượng mặt nạ số 6 của Comodex bị tách nước?","Thành phần chính là Kaolin (đất sét), vì vậy hiện tượng tách nước là hoàn toàn bình thường, không ảnh hưởng đến chất lượng của sản phẩm. Hướng dẫn khắc phục: Trộn đều mặt nạ bằng dụng cụ sạch và tiếp tục sử dụng bình thường."
"Tại sao da nhạy cảm vẫn peel? Sản phẩm peel của Unstress khác gì so với các dòng peel khác?","Khi da nhạy cảm, hàng rào bảo vệ da đang bị tổn thương, đồng thời da vẫn tồn tại tế bào chết. Vì thế sản phẩm peel của Unstress chứa thành phần PROBIOTIC (lợi khuẩn) giúp cân bằng hệ vi sinh vật trên da, phục hồi lại hàng rào bảo vệ da giúp da khỏe mạnh, bảo vệ da khỏi các tác nhân bên ngoài.
Bên cạnh đó, sản phẩm peel dịu nhẹ loại bỏ tế bào chết phù hợp với mức độ nhạy cảm của da, hỗ trợ hiệu quả hấp thụ các bước tiếp theo trong quy trình trị liệu."
"Thành phần chính của bộ sản phẩm Unstress là gì? Công dụng của các thành phần này là gì?","Bộ sản phẩm Unstress gồm 5 thành phần chính:
- Probiotic: lợi khuẩn giúp cân bằng hệ vi sinh vật trên da.
- Blumilight: siêu peptide độc quyền giúp chống lão hóa da, bảo vệ da khỏi ánh sáng xanh của màn hình thiết bị điện tử như điện thoại, máy tính…
- Tảo Venuceane: công nghệ sinh học độc đáo có nguồn gốc từ biển giúp giữ nước cấp ẩm trong da, củng cố hàng rào bảo vệ da.
- Collaxyl: giúp tăng cường tốc độ tái tạo biểu bì, lành tổn thương nhanh.
- Quintessence peptide: chống oxy hóa, tăng cường bảo vệ DNA và chức năng tế bào, từ đó nâng cao bảo vệ da tự nhiên và làm giảm tổn thương cho da."
"Liệu trình Unstress kết hợp với các liệu trình laser, meso như thế nào?","Sau các liệu trình xâm lấn can thiệp tác động vào da như laser, meso… da bị tổn thương nên cần phục hồi sớm để da trở nên dày khỏe. 
Liệu trình kết hợp Unstress để phục hồi da là sau 1 tuần xen kẽ với các buổi trị liệu can thiệp với máy CNC, meso, lăn/ phi kim và có thể duy trì phục hồi cho đến khi da trở lại trạng thái cân bằng ổn định."
"Có thể kết hợp máy móc công nghệ cao như điện di lạnh, chiếu đèn LED cùng với liệu trình Unstress không? Nếu có thì kết hợp ở bước nào?","Liệu trình Unstress kết hợp được với các máy công nghệ như điện di, đèn LED.
- Với máy điện di có thể kết hợp điện di ở bước số 5 Serum Total Serenity và bước số 8 mặt nạ dưỡng ẩm phục hồi da Optimal Hydration Mask, thời gian điện di từ 5-10 phút tùy tình trạng da.
- Với đèn LED có thể kết hợp chiếu đèn sau bước mặt nạ thải độc và làm dịu da Clarifying Mask, chiếu đèn đỏ trong thời gian chiếu đèn 10-15 phút, để hỗ trợ hiệu quả của mặt nạ trong phục hồi & làm khỏe da."
"Thời gian massage của bộ Unstress bao nhiêu phút? Có Lưu ý gì cho các tình trạng da mụn, nhạy cảm, mỏng đỏ không?","Thời gian massage ở bước số 6 Unstress khoảng 10-15 phút tùy tình trạng da.
- Với da khỏe, không có mụn, tổn thương thì thời gian massage sẽ là 15 phút.
- Với da có ít mụn bít tắc, ít mụn viêm, sưng đỏ (ít hơn 5 nốt mụn viêm) thì thời gian massage sẽ là 7-10 phút và không dùng tinh dầu 6B sẽ gây bít tắc dễ hình thành mụn. Có thể dùng nước thay tinh dầu trong bước massage để thao tác massage dễ dàng hơn. Trong quá trình massage tránh tác động lên những vùng da có mụn viêm, sưng đỏ.
- Với tình trạng da mỏng đỏ, bong tróc, nhạy cảm quá mức, thời gian massage sẽ khoảng 5 phút kết hợp với lực massage vừa đủ tránh đi lực quá mạnh gây tổn thương da nhiều hơn."
"Da sau nhiễm corticoid có dùng được bộ Unstress không?","Với bộ sản phẩm Unstress hoàn toàn phù hợp dùng để chăm sóc và phục hồi cho các làn da sau nhiễm corticoid, tuy nhiên da sau nhiễm corticoid có thể gặp nhiều triệu chứng khác nhau như da mỏng da, teo da, giãn mao mạch, bùng phát mụn viêm,... 
Vì thế, cần phải dựa theo tình trạng da và bệnh lý cụ thể da đang gặp phải để có chỉ định và phác đồ điều trị phù hợp với da tại thời điểm đó. "
"Thành phần nổi bật của dòng sản phẩm Illustrious là gì?","Dòng sản phẩm Illustrious là sự kết hợp độc đáo của các thành phần: 
- Tetrahydrocurcumin: chiết xuất từ nghệ trắng, thay thế cho Hydroquinone 4% về khả năng ức chế men Tyrosinase, chống oxy hoá và kháng viêm mạnh mẽ, từ đó có tác dụng làm giảm vết thâm và nám.
- Whitening peptide: hiệu quả làm trắng tối ưu thông qua ức chế enzym tham gia vào quá trình hình thành sắc tố.
- Vitamin C ổn định: vừa tan trong nước, vừa tan trong dầu mang lại hiệu quả chống oxy hoá, làm mờ thâm nám tức thì và dài lâu cùng khả năng tăng sinh collagen, chống lão hoá da.
- Alga white: ngăn ngừa sự tổng hợp melanin thông qua ngăn ngừa enzym endothelin và tyrosinase. Chống oxy hóa, bảo vệ màng tế bào, làm mịn màng và đồng đều tông da, giúp da sáng khỏe.
- Glycolic acid, phytic acid: loại bỏ tế bào chết thô sần, xỉn màu, làm sáng và đồng đều màu sắc da. Đồng thời, giúp da dễ dàng hấp thụ các chất dinh dưỡng hiệu quả."
